SYMBOL,HIGH,LOW,DAILY RANGE
GANESHHOUC,40.65,37,3.6500015
GANGESSECU,41,37.7,3.2999992
GANGOTRI,0.65,0.6,0.049999952
GARDENSILK,12.95,12.05,0.8999996
GARFIBRES,1524.4,1447,77.400024
GATI,70.4,68.25,2.1500015
GAYAHWS,0.4,0.35,0.050000012
GAYAPROJ,60.05,60.05,0.0
GDL,141.9,134.45,7.449997
GEECEE,91.85,82.8,9.049995
GEEKAYWIRE,38.5,38.5,0.0
GENESYS,64.05,62.15,1.9000015
GENUSPAPER,6.45,5.9,0.5499997
GENUSPOWER,28.8,27.65,1.1499996
GEOJITFSL,29.25,28.55,0.70000076
GEPIL,714.5,691.15,23.349976
GESHIP,327,313.8,13.200012
GET&D,169,163,6.0
GFLLIMITED,139.3,139.3,0.0
GHCL,195.55,191.7,3.850006
GICHSGFIN,154.95,152.25,2.699997
GICRE,263.75,254,9.75
GILLANDERS,33.55,31.05,2.5
GILLETTE,6295.25,6260,35.25
GINNIFILA,9.15,8.6,0.54999924
GIPCL,82.5,79.7,2.800003
GKWLIMITED,694.95,686.55,8.400024
GLAXO,1748,1684.7,63.30005
GLENMARK,346.2,334.45,11.75
GLFL,0.65,0.65,0.0
GLOBALVECT,63.2,58.6,4.6000023
GLOBOFFS,5.1,4.8,0.2999997
GLOBUSSPR,144.8,136,8.800003
GMBREW,419.1,407,12.100006
GMDCLTD,64.9,63.5,1.4000015
GMMPFAUDLR,2595,2522,73.0
GMRINFRA,24.05,23.7,0.34999847
GNA,259.8,253.2,6.599991
GNFC,208,201.45,6.550003
GOACARBON,317.7,307.45,10.25
GOCLCORP,288.95,281.1,7.850006
GODFRYPHLP,1397,1235,162.0
GODREJAGRO,579,563.85,15.150024
GODREJCP,754,719.25,34.75
GODREJIND,441.9,425.85,16.049988
GODREJPROP,1111.95,1070,41.94995
GOENKA,0.3,0.25,0.050000012
GOKEX,69.9,67.2,2.7000046
GOKUL,10.95,10.3,0.6499996
GOKULAGRO,14,12.85,1.1499996
GOLDBEES,36,35,1.0
GOLDENTOBC,28,27.05,0.95000076
GOLDIAM,159.9,151,8.899994
GOLDSHARE,3584,3533,51.0
GOLDTECH,9.8,8.75,1.0500002
GOODLUCK,53.5,51.6,1.9000015
GPIL,226.2,215.2,11.0
GPPL,92,89.4,2.5999985
GPTINFRA,38.25,36.6,1.6500015
GRANULES,155.05,151.2,3.850006
GRAPHITE,309,303,6.0
GRASIM,822.85,800,22.849976
GRAVITA,63.15,58.45,4.700001
GREAVESCOT,143,137.05,5.949997
GREENLAM,954.5,922.05,32.450012
GREENPANEL,55.9,54.55,1.3500023
GREENPLY,164.4,160.2,4.199997
GREENPOWER,2,1.9,0.100000024
GRINDWELL,656.2,633.35,22.850037
GROBTEA,470,450,20.0
GRPLTD,889.95,821,68.95001
GRSE,219.4,211.95,7.449997
GSCLCEMENT,23.8,23,0.79999924
GSFC,94.65,91.9,2.75
GSKCONS,9006.85,8915,91.84961
GSPL,263.8,259,4.799988
GSS,46.8,43.95,2.8499985
GTL,1.5,1.4,0.100000024
GTLINFRA,0.45,0.35,0.099999994
GTNIND,7.9,7.05,0.8499999
GTNTEX,6.55,6.55,0.0
GTPL,74.5,73,1.5
GUFICBIO,65,61.25,3.75
GUJALKALI,418,404,14.0
GUJAPOLLO,130,126.1,3.9000015
GUJGASLTD,298.8,288.1,10.699982
GUJRAFFIA,11.35,11.35,0.0
GULFOILLUB,820.05,810,10.049988
